"Priority","Organization","Project","Type","Subsidy","Matching","Total","Start_date","End_date","State","Region","Geocoding_round","county","city_name","postal_code","lat_coords","long_coords","LAU1_CODE","LAU1_NAME"
"P4","Forestry Commission Wales","Wood Energy Business Scheme 2","ERDF",2678626,0,6752619,"05/2009","06/2015","Wales","Wales","First","Gloucestershire","Coleford","GL16 8BA","51.7946212","-2.6176557","UKK1303","Forest of Dean"
"P3","Forestry Commission Wales","Wood Energy Business Scheme 2 Competitiveness ERDF P3","ERDF",373197,0,1081603,"05/2009","03/2014","Wales","Wales","First","Gloucestershire","Coleford","GL16 8BA","51.7946212","-2.6176557","UKK1303","Forest of Dean"
"P1","Bangor University","SEACAMS","ERDF",13659901,0,24127725,"05/2010","06/2015","Wales","Wales","First","Gwynedd","Bangor","LL57 2DG","53.2292191","-4.129498","UKL1200","Gwynedd"
"P3","Bangor University","Knowledge Economy Skills Scholarships","ESF",20305895,0,31210646,"05/2009","09/2015","Wales","Wales","First","Gwynedd","Bangor","LL57 2DG","53.2292191","-4.129498","UKL1200","Gwynedd"
"P1","Bangor University","Arts and Innovation Centre P1T1","ERDF",4844417,0,8238805,"01/2011","12/2015","Wales","Wales","First","Gwynedd","Bangor","LL57 2DG","53.2292191","-4.129498","UKL1200","Gwynedd"
"P5","Bangor University","Arts and Innovation Centre P5T1","ERDF",7662000,0,10934845,"01/2011","12/2015","Wales","Wales","First","Gwynedd","Bangor","LL57 2DG","53.2292191","-4.129498","UKL1200","Gwynedd"
"P1","Bangor University","Wales Centre for Behaviour Change","ERDF",1090836,0,1821013,"01/2013","06/2015","Wales","Wales","First","Gwynedd","Bangor","LL57 2DG","53.2292191","-4.129498","UKL1200","Gwynedd"
"P4","Cyngor Gwynedd Council","National Sailing Academy and Events Centre, Pwllheli","ERDF",4347194,0,8933678,"02/2011","09/2015","Wales","Wales","First","Gwynedd","Caernarfon","LL55","53.1402853","-4.2776384","UKL1200","Gwynedd"
"P3","Cyngor Gwynedd Council","Pont Briwat","ERDF",9039516,0,19617085,"06/2010","06/2015","Wales","Wales","First","Gwynedd","Caernarfon","LL55","53.1402853","-4.2776384","UKL1200","Gwynedd"
"P1","Cyngor Gwynedd Council","Llwyddon Lleol Creating a Culture of Enterprise amongst YP","ESF",2170602,0,3160401,"01/2010","03/2015","Wales","Wales","First","Gwynedd","Caernarfon","LL55","53.1402853","-4.2776384","UKL1200","Gwynedd"
"P1","Cyngor Gwynedd Council","Potensial","ESF",8181001,0,13562494,"06/2011","08/2014","Wales","Wales","First","Gwynedd","Caernarfon","LL55","53.1402853","-4.2776384","UKL1200","Gwynedd"
"P3","Cymdeithas Tai Eryri","Botwnnog Enterprise Centre","ERDF",708724,0,1712722,"03/2009","10/2013","Wales","Wales","First","Gwynedd","Caernarfon","LL54 6LY","53.0526095","-4.2833919","UKL1200","Gwynedd"
"P4","Cyngor Gwynedd Council","Gwynedd and Anglesey Learning Partnership","ESF",649940,0,1099940,"06/2013","10/2015","Wales","Wales","First","Gwynedd","Caernarfon","LL55","53.1402853","-4.2776384","UKL1200","Gwynedd"
"P4","Ymddiriedolaeth Nant Gwrtheyrn","Nant Gwrtheyrn","ERDF",2225000,0,4508000,"05/2007","01/2014","Wales","Wales","First","Gwynedd","Pwllheli","LL53 8PR","52.8641912","-4.5475261","UKL1200","Gwynedd"
"P4","Ymddiriedolaeth Nant Gwrtheyrn","Nant Gwrtheyrn Phase 2","ERDF",600000,0,1035000,"03/2014","06/2015","Wales","Wales","First","Gwynedd","Pwllheli","LL53 8PR","52.8641912","-4.5475261","UKL1200","Gwynedd"
"P1","Hyfforddiant Parys Training","Amlwch Skills 16 plus","ESF",112895,0,199943,"06/2009","03/2011","Wales","Wales","First","Isle of Anglesey","Amlwch","LL68 9BQ","53.4069579","-4.3509171","UKL1100","Isle of Anglesey"
"P3","Menter Mon","Shaping the Future","ESF",2293572,0,3999946,"05/2010","06/2015","Wales","Wales","First","Isle of Anglesey","Llangefni","LL77 7LR","53.2559529","-4.3111395","UKL1100","Isle of Anglesey"
"P5","Menter Mon","Cyfenter","ERDF",2865549,0,4164555,"12/2011","07/2015","Wales","Wales","First","Isle of Anglesey","Llangefni","LL77 7LR","53.2559529","-4.3111395","UKL1100","Isle of Anglesey"
"P2","Bridge Marine Science Group","Growth in Environmental Marine Sciences","ERDF",1187393,0,2297701,"12/2008","10/2013","Wales","Wales","First","Isle of Anglesey","Menai Bridge","LL59 5DW","53.225412","-4.1632494","UKL1100","Isle of Anglesey"
"P2","Bridge Marine Science Group","Growth in Environmental Marine Science Competitiveness Areas","ERDF",80000,0,265200,"07/2011","06/2013","Wales","Wales","First","Isle of Anglesey","Menai Bridge","LL59 5DW","53.225412","-4.1632494","UKL1100","Isle of Anglesey"
"P5","Merthyr Tydfil County Borough Council","South East Valleys Community Economic Development Programme","ERDF",9096192,0,13475856,"09/2010","08/2015","Wales","Wales","First","Merthyr Tydfil","Merthyr Tydfil","CF47 8AN","51.7470721","-3.3813084","UKL1504","Merthyr Tydfil"
"P5","Merthyr Tydfil County Borough Council","Valleys Renaissance - Taff Bargoed Regeneration","ERDF",1255010,0,4944161,"10/2010","06/2015","Wales","Wales","First","Merthyr Tydfil","Merthyr Tydfil","CF47 8AN","51.7470721","-3.3813084","UKL1504","Merthyr Tydfil"
"P5","Merthyr Tydfil County Borough Council","Merthyr Tydfil Town Centre Regeneration Programme","ERDF",7164029,0,24441658,"11/2010","06/2015","Wales","Wales","First","Merthyr Tydfil","Merthyr Tydfil","CF47 8AN","51.7470721","-3.3813084","UKL1504","Merthyr Tydfil"
"P1","Engineering Education Scheme Wales","Stem Cymru","ESF",2109866,0,2876594,"07/2010","06/2015","Wales","Wales","First","N/A","Bridgend","CF31 3NA","51.4929934","-3.5810777","UKL1705","Bridgend"
"P3","Parc Busnes Treorci","Parc Busnes Treorci","ERDF",1841659,0,3749680,"12/2007","09/2013","Wales","Wales","First","N/A","Ferndale","CF43 4AB","51.6689328","-3.4688413","UKL1503","Rhondda Cynon Taf"
"P4","Furnace Farm Limited","Centre of Excellence for Welsh Food","ERDF",1970256,0,6444107,"07/2008","07/2015","Wales","Wales","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
