"Priority","Organization","Project","Type","Subsidy","Matching","Total","Start_date","End_date","State","Region","Geocoding_round","county","city_name","postal_code","lat_coords","long_coords"
"P1","Sealladh na Beinne Moire","Loch Carnan Community Wind Farm","ERDF","2400000","N/A","10341927","N/A","N/A","Scotland","Highland and Islands","Fourth","Highland","Fort William","PH33 6RZ","56.6985742","-5.1797438"
"P2","Outdoor Capital of the UK","Outdoor Capital 2008-2010","ERDF","84260","N/A","210260","N/A","N/A","Scotland","Highland and Islands","First","Highland","Fort William","PH33 6DH","56.8181781","-5.1111679"
"P2","The Nevis Partnership","Ben Nevis Mountain Track and Glen Nevis Sense of 'Place'","ERDF","212969","N/A","475841","N/A","N/A","Scotland","Highland and Islands","First","Highland","Fort William","PH33","56.8220134","-5.089865"
"P3","West Highland College","WHC UHI: Further Education & Enterprise Facility - Portree","ERDF","590000","N/A","2090000","N/A","N/A","Scotland","Highland and Islands","First","Highland","Fort William","PH33 6FF","56.8225834","-5.1070108"
"P1","Forestry Commission Scotland","Scottish Biomass Heat Scheme for Business - H&I","ERDF","540000","N/A","1350000","N/A","N/A","Scotland","Highland and Islands","First","Highland","Dingwall","IV15 9XB","57.6014338","-4.4501583"
"P2","National Trust for Scotland","Mountains for People","ERDF","243073","N/A","1090013","N/A","N/A","Scotland","Highland and Islands","First","Highland","Ballachulish","PH49 4HX","56.6644333","-5.056737"
"P2","Speyside Trust","Badaguish Centre Development (5)","ERDF","436217","N/A","969374","N/A","N/A","Scotland","Highland and Islands","Second","Highland","Aviemore","PH22 1QU","57.1807379","-3.7274619"
"P2","Cairngorms Outdoors Access Trust","Cairngorms Mountain Heritage Project","ERDF","722502","N/A","1915308","N/A","N/A","Scotland","Highland and Islands","First","Highland","Aviemore","PH22 1QH","57.1762242","-3.8173914"
"P1","VISITSCOTLAND","GREEN TOURISM INITIATIVES FOR BUSINESS GROWTH (H&I)","ERDF","78117","N/A","200300","N/A","N/A","Scotland","Highland and Islands","Third","Glasgow City","Glasgow","G1","55.8599595","-4.2526285"
"P1","VISITSCOTLAND","NEW TOURISM GROWTH FUND (H&I)","ERDF","210695","N/A","561852","N/A","N/A","Scotland","Highland and Islands","Third","Glasgow City","Glasgow","G1","55.8599595","-4.2526285"
"P2","VISITSCOTLAND","IMPROVING THE COMPETIVENESS OF BUSINESSES IN THE H&IS","ERDF","445305","N/A","1272300","N/A","N/A","Scotland","Highland and Islands","Third","Glasgow City","Glasgow","G1","55.8599595","-4.2526285"
"P2","VISITSCOTLAND","HOMECOMING SCOTLAND 2009 (H&I)","ERDF","1487620","N/A","4250342","N/A","N/A","Scotland","Highland and Islands","Third","Glasgow City","Glasgow","G1","55.8599595","-4.2526285"
