"Priority","Organization","Project","Type","Subsidy","Matching","Total","Start_date","End_date","State","Region","Geocoding_round","county","city_name","postal_code","lat_coords","long_coords"
"P1","Right Track Scotland Ltd","FOCUS 2008","ESF","149817","N/A","364722","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G40","55.8513751","-4.223113"
"P1","Right Track Scotland Ltd","Motivator 2008","ESF","128558","N/A","496558","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G40","55.8513751","-4.223113"
"P1","Right Track Scotland Ltd","Skills for the Future 2008","ESF","96425","N/A","214278","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G40","55.8513751","-4.223113"
"P1","Right Track Scotland Ltd","Access to Admin 2008","ESF","33306","N/A","161406","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G40","55.8513751","-4.223113"
"P1","Right Track Scotland Ltd","Skills for the Future 2009","ESF","114336","N/A","254080","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G40","55.8513751","-4.223113"
"P1","Right Track Scotland Ltd","MOTIVATOR 2009","ESF","127924","N/A","495924","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G40","55.8513751","-4.223113"
"P1","Right Track Scotland Ltd","FOCUS","ESF","123343","N/A","324943","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G40","55.8513751","-4.223113"
"P1","Right Track Scotland Ltd","Career Start Project","ESF","112770","N/A","251390","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G40","55.8513751","-4.223113"
"P1","Right Track Scotland Ltd","Skills for the Future 2010","ESF","101279","N/A","225066","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G40","55.8513751","-4.223113"
"P1","Right Track Scotland Ltd","Realising Potential","ESF","392680","N/A","1107680","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G40","55.8513751","-4.223113"
"P1","RNID","Early & Mid Life Transitions Support for Deaf People","ESF","61385","N/A","136410","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G1 2RX","55.864184","-4.2547358"
"P1","Routes to Work South","Creating Opportunities if Left is Right","ESF","275497","N/A","665497","N/A","N/A","Scotland","Lowlands and Uplands","Second","South Lanarkshire","Glasgow","G72 7EX","55.8194508","-4.1658646"
"P1","Scotland's Learning Partnership","Acting Up (round 1)","ESF","239170","N/A","531491","N/A","N/A","Scotland","Lowlands and Uplands","Second","Edinburgh","Edinburgh","EH2 3JZ","55.953451","-3.2023826"
"P1","Scottish Association for Mental Health","Glasgow North","ESF","212572","N/A","472382","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G1 1UZ","55.8584724","-4.2476622"
"P1","Scottish Association for Mental Health","Glasgow South","ESF","221556","N/A","492347","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G1 1UZ","55.8584724","-4.2476622"
"P1","Scottish Association for Mental Health","COMPASS (Samh)","ESF","184518","N/A","410041","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G1 1UZ","55.8584724","-4.2476622"
"P1","Scottish Association for Mental Health","GLASGOW SOUTH Samh","ESF","749803","N/A","1706175","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G1 1UZ","55.8584724","-4.2476622"
"P1","Scottish Association for Mental Health","GLASGOW NORTH Samh","ESF","745057","N/A","1696871","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G1 1UZ","55.8584724","-4.2476622"
"P1","Scottish Council for Voluntary Organisations","Moving Forward Ayrshire & Inverclyde","ESF","117043","N/A","266314","N/A","N/A","Scotland","Lowlands and Uplands","Second","Edinburgh","Edinburgh","EH3 6BB","55.9597201","-3.1904754"
"P1","Scottish Council for Voluntary Organisations","Moving Forward Dundee","ESF","67833","N/A","150774","N/A","N/A","Scotland","Lowlands and Uplands","Second","Edinburgh","Edinburgh","EH3 6BB","55.9597201","-3.1904754"
"P1","Skillnet Edinburgh","Black Community Skills Project","ESF","128752","N/A","335005","N/A","N/A","Scotland","Lowlands and Uplands","Second","Edinburgh","Edinburgh","EH7 5QL","55.9600753","-3.165509"
"P1","Skillnet Edinburgh","Black Community Skills Project (Round 1)","ESF","138343","N/A","307429","N/A","N/A","Scotland","Lowlands and Uplands","Second","Edinburgh","Edinburgh","EH7 5QL","55.9600753","-3.165509"
"P1","Skillnet Edinburgh","Black Community Skills Project (Round 2)","ESF","117464","N/A","261032","N/A","N/A","Scotland","Lowlands and Uplands","Second","Edinburgh","Edinburgh","EH7 5QL","55.9600753","-3.165509"
